id,VCS,VCS,VCS,VCS,file_link
,chunk_size=1,chunk_size=1,chunk_size=2,chunk_size=2,
,LCT=0,LCT=1,LCT=0,LCT=1,
001,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=-yyoLJuNIJU
002,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=0JZ5RInywqE
003,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=1EnGKC9Lk_Y
004,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=1JDAa0BvD68
005,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=2CxV_NKhsgY
006,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=2dYyyQdjgLI
007,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=2nZBPdh9_Jc
008,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=36IxAWko46A
009,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=3IVugy6dK3E
010,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=3a49kwfRAtI
011,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=4OPFsldv7Ws
012,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=5AQC5oeDhDg
013,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=5ve2E8iEbSQ
014,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=7ezYV1mOdh0
015,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=8l4qdf_1nGM
016,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=8zYGzyIpue8
017,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=94UGx836EPI
018,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=AMT2RwFFs_g
019,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=AMtKsDnOw_0
020,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=A_6e5AilC6k
021,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=Ad5ZJcmYc_k
022,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=AysV4mGh4fc
023,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=AzIQg6Ly_Rw
024,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=C2JaJ_FLYiM
025,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=C5pZipJa09s
026,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=CWS1CWSAmjs
027,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=CsZUGoa3JHc
028,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=Cun-LZvOTdw
029,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=IvAjNuhubIM
030,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=ENC7ueK93Ow
031,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=IIdGxR-aU6o
032,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=Ixi9imJZ40M
033,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=Iz8CcMaFNFo
034,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=JQtAuNst9-s
035,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=JVg5X7dUlLM
036,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=Jofn_9rPbzo
037,0.0,0.0,0.0,0.009,https://www.youtube.com/watch?v=KyfXb39rGT0
038,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=LyGXFcfRyAQ
039,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=MoPFAlf393g
040,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=NGeFA2fWzX8
041,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=NYeHpXJ19zc
042,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=OurCnuyC8zo
043,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=OwfT8yTBPYs
044,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=OxLmmTv6CTs
045,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=P0JUY_IEZts
046,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=P16PwzZr1HY
047,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=PiMWCFay_sE
048,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=TVaP9kEYVZ8
049,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=UuuzF8Pyh0s
050,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=WcprSuKYoJw
051,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=XAP8gwPXFcg
052,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=YTcFsdIJ_Xo
053,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=YmGBAiHnK0U
054,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=Z2SdWJJWe4I
055,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=ZE5ddEN5Nbk
056,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=ZhMpx9aeefY
057,0.0,0.0,0.0,0.082,https://www.youtube.com/watch?v=_uwVIMdk7hc
058,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=aJCCUdK7PiU
059,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=ac6FZ59tna4
060,0.0,0.0,0.0,0.211,https://www.youtube.com/watch?v=ar0xLps7WSY
061,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=aXYTDZr_rmU
062,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=b_fKzher8QQ
063,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=cKpV6Wb81Ak
064,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=cfNzZre-sIU
065,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=eXHdqulNiBs
066,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=egieAUXfc7Y
067,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=elpUGB9Ap1Y
068,0.0,0.0,0.0,0.338,https://www.youtube.com/watch?v=f0wEV9jySXg
069,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=fuEG_PSb_Ts
070,0.0,0.204,0.0,0.325,https://www.youtube.com/watch?v=hVGcbaoRtqk
071,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=im1ZK1WNBZs
072,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=jBotZTDEcP8
073,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=jEav9DdL4iI
074,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=kPNy_yGvpKI
075,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=kQosO29X9Bo
076,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=lEFx1qmW4ts
077,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=lr-f2FJSr60
078,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=nR4Z4JbcPyM
079,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=pcV9ceH4UvE
080,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=rMS4ESFlfDk
081,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=rxWQfQcLAUA
082,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=sd_I5ez3jwg
083,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=ssKf_Qo7VVk
084,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=t4M3hbVh3U4
085,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=u-z5139CW1I
086,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=uAO727Dw9hg
087,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=uG_KHjd_PSc
088,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=ujhXgFBjcZA
089,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=us_GLuu2SAc
090,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=v5wBisDJJ5A
091,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=vKePn-57zAA
092,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=vZf1zmvtkkc
093,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=wcGBAjQP-p4
094,0.0,0.0,0.0,0.0,https://www.youtube.com/watch?v=weDQxJm9K-Y
